hpo_id_phenotype,hpoID_Computable,Label,Synonyms,Description
HP:0410272,HP_0410272,Vulvar hemangioma, ,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the vulva."
HP:0031449,HP_0031449,Perineal hemangioma, ,"Hemangioma, a benign tumor of the vascular endothelial cells, located in the perineal region, i.e., the region between the anus and the genitals."
HP:0002350,HP_0002350,Cerebellar cyst,Cerebellar cysts, 
HP:0006872,HP_0006872,Cerebral hypoplasia,Small cerebrum|Underdeveloped cerebrum,Underdevelopment of the cerebrum.
HP:0410275,HP_0410275,Lumbosacral hemangioma,Lumbar/sacral hemangioma,A spinal cord hemangioma located in the lumbosacral spine region.
HP:0000587,HP_0000587,Abnormality of the optic nerve,Optic nerve issue|optic nerve abnormalities,Abnormality of the optic nerve.
HP:0007968,HP_0007968,Remnants of the hyaloid vascular system,Congenital retinal septum|Persistent hyperplastic primary vitreous|Persistent fetal vasculature|Persistent hypertrophic primary vitreous|Persistent tunica vasculosa lentis|Persistent posterior fetal fibrovascular sheath of the lens|Persistent hyperplasia of primary vitreous,"Persistence of the hyaloid artery, which is the embryonic artery that runs from the optic disk to the posterior lens capsule may persist; the site of attachment may form an opacity. The hyaloid artery is a branch of the ophthalmic artery, and usually regresses completely before birth. This features results from a failure of regression of the hyaloid vessel, which supplies the primary vitreous during embryogenesis and normally regresses in the third trimester of pregnancy, leading to a particular form of posterior cataract."
HP:0410269,HP_0410269,Labial hemangioma, ,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the upper lip."
HP:0000776,HP_0000776,Congenital diaphragmatic hernia,Diaphragmatic hernia,The presence of a hernia of the diaphragm present at birth.
HP:0001627,HP_0001627,Abnormal heart morphology,Congenital heart defect|Cardiac abnormality|Abnormality of cardiac morphology|Cardiac anomalies|Abnormally shaped heart|Heart defect|Cardiac anomaly|Congenital heart defects|Abnormality of the heart,Any structural anomaly of the heart.
HP:0004727,HP_0004727,Impaired renal concentrating ability,Urine concentrating defect|Urine concentration defect,A defect in the ability to concentrate the urine.
HP:0008110,HP_0008110,Equinovarus deformity, , 
HP:0000238,HP_0000238,Hydrocephalus,Too much cerebrospinal fluid in the brain|Nonsyndromal hydrocephalus|Hydrocephaly,Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.
HP:0012638,HP_0012638,Abnormal nervous system physiology,Abnormality of nervous system physiology,A functional anomaly of the nervous system.
HP:0000081,HP_0000081,Duplicated collecting system,Double collecting system|Double urinary collecting systems on intravenous pyelography|Duplex collecting system|Duplicated renal collecting system,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice."
HP:0001902,HP_0001902,Giant platelets, ,"Giant platelets are larger than 7 micrometers and usually 10 to 20 micrometers. The term giant platelet is used when the platelet is larger than the size of the average red cell in the field. (Description adapted from College of American Pathologists, Hematology Manual, 1998)."
HP:0031942,HP_0031942,Congenital absence of portal vein,Missing portal vein|CAPV,Anomaly where the intestinal and the splenic venous drainage bypass the liver and drain into systemic veins through other possible venous shunts.
HP:0012541,HP_0012541,Cephalohematoma,Cephalohaematoma,Hemorrhage between the skull and periosteum of a newborn resulting from rupture of blood vessels that cross the periosteum.
HP:0000034,HP_0000034,Hydrocele testis,Testicular hydrocele,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.
HP:0011311,HP_0011311,Sydney crease, ,Extension of the proximal transverse crease (five finger crease) to the ulnar edge of the palm.
HP:0001747,HP_0001747,Accessory spleen, ,"An accessory spleen is a round, iso-echogenic, homogenic and smooth structure and is seen as a normal variant mostly on the medial contour of the spleen, near the hilus or around the lower pole. This has no pathogenic relevance."
HP:0000062,HP_0000062,Ambiguous genitalia,Ambiguous external genitalia at birth|Intersex genitalia|Ambiguous external genitalia,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.
HP:0100632,HP_0100632,Pulmonary sequestration, ,The presence of a piece lung tissue which is not attached to the pulmonary blood supply and does not communicate with the other lung tissue (not connected to the standard bronchial airways and not performing a function in respiration).
HP:0010512,HP_0010512,Adrenal calcification, ,Calcification within the adrenal glands.
HP:0011297,HP_0011297,Abnormal digit morphology,Abnormality of fingers or toes|Abnormality of digit|Digital anomalies,"A morphological abnormality of a digit, i.e., of a finger or toe."
HP:0011344,HP_0011344,Severe global developmental delay,"Global developmental delay, severe",A severe delay in the achievement of motor or mental milestones in the domains of development of a child.
HP:0002937,HP_0002937,Hemivertebrae,Hemivertebra|Hemi-vertebrae|Missing part of vertebrae,Absence of one half of the vertebral body.
HP:0004488,HP_0004488,Macrocephaly at birth,Large skull present since birth|Congenital large cranium|Large cranium present since birth|Head circumference large for gestational age|Big cranium present at birth|Large skull present at birth|Big skull present since birth|Big cranium present since birth|Large cranium present at birth|Congenital macrocephaly|Big skull present at birth|Congenital large skull,The presence of an abnormally large skull with onset at birth.
HP:0200012,HP_0200012,Short corpus callosum, , 
HP:0003762,HP_0003762,Uterus didelphys, ,A malformation of the uterus in which the uterus is present as a paired organ as a result of the failure of fusion of the mullerian ducts during embryogenesis.
HP:0001511,HP_0001511,Intrauterine growth retardation,"Prenatal-onset growth retardation|Small for gestational age infant|Prenatal growth deficiency|Intrauterine growth restriction|Intrauterine retardation|Prenatal growth retardation|In utero growth retardation|IUGR|Prenatal growth failure|Intrauterine growth retardation, IUGR|Intrauterine growth failure|Prenatal onset growth retardation",An abnormal restriction of fetal growth with fetal weight below the tenth percentile for gestational age.
HP:0000048,HP_0000048,Bifid scrotum,Cleft of scrotum|Scrotal cleft,Midline indentation or cleft of the scrotum.
HP:0000049,HP_0000049,Shawl scrotum,Overriding scrotum|Scrotum surrounds penis,Superior margin of the scrotum superior to the base of the penis.
HP:0010962,HP_0010962,Extralobar sequestration, ,A kind of bronchopulmonary sequestration that is completely discrete from the normal lung and is surrounded by separate pleura.
HP:0001845,HP_0001845,Overlapping toe,Overlapping toes|Overlapping toe|Overriding toes,Describes a foot digit resting on the dorsal surface of an adjacent digit when the foot is at rest.
HP:0100362,HP_0100362,Aplasia of the phalanges of the 3rd toe,Absent digital bone of the 3rd toe, 
HP:0012385,HP_0012385,Camptodactyly,Permanent flexion of the finger or toe,The distal interphalangeal joint and/or the proximal interphalangeal joint of the fingers or toes cannot be extended to 180 degrees by either active or passive extension.
HP:0008454,HP_0008454,Lumbar kyphosis,Lumbar gibbus deformity|Rounded lower back,Over curvature of the lumbar region.
HP:0003422,HP_0003422,Vertebral segmentation defect,Abnormal spinal segmentation,An abnormality related to a defect of vertebral separation during development.
HP:0007906,HP_0007906,Ocular hypertension,Increased intraocular pressure|High eye pressure|Raised IOP|Elevated IOP|Increased IOP|Elevated intraocular pressure|Raised intraocular pressure,Intraocular pressure that is 2 standard deviations above the population mean.
HP:0012833,HP_0012833,Unilateral, ,Being present on only the left or only the right side of the body.
HP:0010317,HP_0010317,Scapular aplasia,Absent scapula|Absent shoulder blade,Absence of the scapulae.
HP:0009016,HP_0009016,Upper limb muscle hypoplasia,Underdevelopment of upper limb muscles,Underdevelopment of muscles of the arm.
HP:0006097,HP_0006097,3-4 finger syndactyly,Webbed 3rd-4th finger|Webbed 3rd-4th fingers|Partial or complete syndactyly 3rd-4th fingers,Syndactyly with fusion of fingers three and four.
HP:0010959,HP_0010959,Congenital cystic adenomatoid malformation of the lung,Congenital cystic disease of the lung|CCAM|Cystic adenomatoid lung disease,Congenital cystic adenomatoid malformation (CCAM) can be diagnosed prenatally if ultrasound shows a cystic or solid lung tumor. A CCAM does not have systemic arterial blood supply (in contrast to bronchopulmonary sequenstration). It is a cystic area within the lung that originates from abnormal embryogenesis.
HP:0001298,HP_0001298,Encephalopathy, ,"Encephalopathy is a term that means brain disease, damage, or malfunction. In general, encephalopathy is manifested by an altered mental state."
HP:0002744,HP_0002744,Bilateral cleft lip and palate,Right and left cleft lip and palate|Bilateral cleft lip and cleft palate,Cleft lip and cleft palate affecting both sides of the face.
HP:0004692,HP_0004692,4-5 toe syndactyly,"Syndactyly of toes 4 and 5|Webbed 4th-5th toes|Symmetric syndactyly, toes 4 and 5",Syndactyly with fusion of toes four and five.
HP:0006367,HP_0006367,Crumpled long bones,Crumpled long bones,"An crumpled radiographic appearance of the long bones, as if the long bone had been crushed together producing irregularities. This feature is the result of multiple fractures and repeated rounds of ineffective healing, as can be seen for instance in severe forms of osteogenesis imperfecta."
HP:0009246,HP_0009246,Aplasia of the distal phalanx of the 5th finger,Absent outermost little finger bone|Absent outermost pinkie finger bone|Absent outermost pinky finger bone,Absence of the distal phalanx of the little (5th) finger.
HP:0008445,HP_0008445,Cervical spinal canal stenosis,Narrow cervical spinal canal,An abnormal narrowing of the cervical spinal canal.
HP:0002043,HP_0002043,Esophageal stricture,Narrowing of esophagus due to inflammation and scar tissue,A pathological narrowing of the esophagus that is caused by the development of a ring of scar tissue that constricts the esophageal lumen.
HP:0001683,HP_0001683,Ectopia cordis, ,Congenital malformation of the ventral wall with partial or total evisceration of the heart outside the thoracic cavity and through the defect in the ventral wall.
HP:0001748,HP_0001748,Polysplenia,Accessory spleens|Multiple small spleens|Multiple accessory spleens,Polysplenia is a congenital disease manifested by multiple small accessory spleens.
HP:0009649,HP_0009649,Aplasia of the distal phalanx of the thumb,Absent ossification/absent terminal thumb phalanx|Absence of the outermost bone of the thumb|Aplasia of the outermost bone of the thumb,Absence of the distal/terminal phalanx of the thumb.
HP:0009565,HP_0009565,Aplasia of the distal phalanx of the 2nd finger,Absent outermost index finger bone|Absent terminal index finger phalanx, 
HP:0001798,HP_0001798,Anonychia,Absent nails|Aplastic nails,Aplasia of the nail.
HP:0030084,HP_0030084,Clinodactyly,Permanent curving of the finger,An angulation of a digit at an interphalangeal joint in the plane of the palm (finger) or sole (toe).
HP:0010051,HP_0010051,Deviation of the hallux,Displacement of big toe|Displacement of the hallux,Displacement of the big toe from its normal position.
HP:0010326,HP_0010326,Deviation of the 2nd toe,Displacement of the 2nd toe, 
HP:0000954,HP_0000954,Single transverse palmar crease,Simian creases|Transverse palmar crease|Single palmar creases|Single flexion crease|Single palmar crease|Single transverse palmar creases|Simian crease|Simian line,The distal and proximal transverse palmar creases are merged into a single transverse palmar crease.
HP:0010710,HP_0010710,3-5 finger syndactyly,"Webbed third, fourth and fifth toes",Syndactyly with fusion of fingers three to five.
HP:0020143,HP_0020143,Tracheal duplication cyst, ,"A cyst in the trachea, whose wall is made up by tissue similar to the bronchial tree, including cartilage and smooth muscle, and is lined by secretory respiratory epithelium composed of cuboid or columnar ciliated epithelium."
HP:0100730,HP_0100730,Bronchogenic cyst, ,A rare congenital cystic lesion of the lungs in the mediastinum.
HP:0012718,HP_0012718,Morphological abnormality of the gastrointestinal tract,Morphological anomaly of the digestive system|Morphological abnormality of the GI tract|Abnormal shape of the digestive system,Abnormal structure of the gastrointestinal tract.
HP:0010451,HP_0010451,Aplasia/Hypoplasia of the spleen,Absent/small spleen|Absent/underdeveloped spleen,Absence or underdevelopment of the spleen.
HP:0004451,HP_0004451,Postauricular skin tag,Skin tag behind the ear|Postauricular fibroepithelial polyp|Postauricular acrochordon,A rudimentary tag of ear tissue often containing a core of cartilage and located just in back of the auricle (outer part of the ear).
HP:0040102,HP_0040102,Osseous atresia of the external auditory canal, , 
HP:0000075 ,HP_0000075 ,Key ID HP_0000075  may be badly formatted., , 
HP:0001388,HP_0001388,Joint laxity,Joint instability|Hyperlaxity|Lax joints|Loosejointedness|Loose-jointedness|Joint ligamentous laxity|Ligamentous laxity,Lack of stability of a joint.
HP:0012453,HP_0012453,Bilateral wrist flexion contracture, ,A chronic loss of wrist joint motion on the right and left sides.
HP:0010880,HP_0010880,Increased nuchal translucency, ,The presence of an abnormally large hypoechoic space in the posterior fetal neck (usually detected on prenatal ultrasound examination).
HP:0002974,HP_0002974,Radioulnar synostosis,Fused forearm bones,An abnormal osseous union (fusion) between the radius and the ulna.
HP:0001233,HP_0001233,2-3 finger syndactyly,"Syndactyly 2nd-3rd fingers|Syndactyly, 2-3 finger|Webbed 2nd-3rd fingers",Syndactyly with fusion of fingers two and three.
HP:0011921,HP_0011921,Exudative pleural effusion, ,"A type of pleural effusion with a exudate (extravascular fluid that has exuded out of a tissue or its capillaries due to injury or inflammation). Pleural effusions can be classified as transudates or exudates based on Light's criteria, which classify an effusion as exudate if one or more of the following are present: (1) the ratio of pleural fluid protein to serum protein is greater than 0.5, (2) the ratio of pleural fluid lactate dehydrogenase (LDH) to serum LDH is greater than 0.6, or (3) the pleural fluid LDH level is greater than two thirds of the upper limit of normal for serum LDH."
HP:0001660,HP_0001660,Truncus arteriosus,Common arterial trunk,"A single arterial trunk arises from the cardiac mass. The pulmonary arteries, aorta and coronary arteries arise from this single trunk with no evidence of another outflow tract."
HP:0005815,HP_0005815,Supernumerary ribs,Extra ribs,The presence of more than 12 rib pairs.
HP:0001518,HP_0001518,Small for gestational age,Low birth weight|Birth weight less than 10th percentile|Small for gestational age,"Smaller than normal size according to sex and gestational age related norms, defined as a weight below the 10th percentile for the gestational age."
HP:0004468,HP_0004468,Anomalous tracheal cartilage,Abnormal tracheal cartilaginous ring,"An abnormality of the C-shaped rings of hyaline cartilage, normally 16 to 20 in number, that occupy the anterior two-thirds of the circumference of the trachea (the posterior portion of the ring is completed by fibrous and smooth muscle tissue)."
HP:0410030,HP_0410030,Cleft lip,Cleft lip|Cleft of the lip,A gap in the lip or lips.
HP:0000589,HP_0000589,Coloboma,Ocular coloboma|Ocular colobomas|Notched pupil,A developmental defect characterized by a cleft of some portion of the eye or ocular adnexa.
HP:0002948,HP_0002948,Vertebral fusion,Fused vertebrae|Fusion of vertebral bodies|Vertebral body fusion|Spinal fusion,A developmental defect leading to the union of two adjacent vertebrae.
HP:0000105,HP_0000105,Enlarged kidney,Renal enlargement|Nephromegaly|Large kidneys|Enlarged kidney,An abnormal increase in the size of the kidney.
HP:0000185,HP_0000185,Cleft soft palate,Cleft velum|Cleft muscular palate|Cleft of soft palate,"Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency."
HP:0000598,HP_0000598,Abnormality of the ear,Abnormality of the ear|Ear anomaly,An abnormality of the ear.
HP:0001780,HP_0001780,Abnormality of toe,Abnormality of toe|Abnormalities of the toes,An anomaly of a toe.
HP:0000772,HP_0000772,Abnormality of the ribs,Rib anomalies|Rib abnormalities|Abnormality of the ribs,An anomaly of the rib.
HP:0100711,HP_0100711,Abnormal thoracic spine morphology,Abnormality of the thoracic spine,An abnormality of the thoracic vertebral column.
HP:0001838,HP_0001838,Rocker bottom foot,Rocker-bottom feet|Rocker bottom foot|Rocker bottom feet|Rockerbottom feet|Congenital vertical talus,The presence of both a prominent heel and a convex contour of the sole.
HP:0010960,HP_0010960,Bronchopulmonary sequestration, ,The presence of microscopic cystic masses of nonfunctioning pulmonary tissue that lack an obvious communication with the tracheobronchial tree.
HP:0001250,HP_0001250,Seizure,Epileptic seizure|Seizures,A seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain.
HP:0000041,HP_0000041,Chordee, ,"Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees."
HP:0045005,HP_0045005,Neural tube defect,Abnormality of neural tube closure,"A neural tube defect arises when the neural tube, the embryonic precursor of the brain and spinal cord, fails to close during neurulation. The cranial region (anencephaly) or the low spine (open spina bifida; myelomeningocele) are most commonly affected although, in the severe NTD craniorachischisis, almost the entire neural tube remains open, from midbrain to low spine."
HP:0003067,HP_0003067,Madelung deformity,Madelung wrist deformity,"An anomaly related to partial closure, or failure of development of the ulnar side of the distal radial growth plate, which results in an arrest of epiphyseal growth of the medial and volar portions of the distal radius. This leads to shortening of the radius and relative overgrowth of the ulna."
HP:0010463,HP_0010463,Aplasia of the ovary,Absent ovary,"Aplasia, that is failure to develop, of the ovary."
HP:0000813,HP_0000813,Bicornuate uterus,Uterus bicornis|Heart shaped uterus|Heart-shaped uterus,The presence of a bicornuate uterus.
HP:0100712,HP_0100712,Abnormal lumbar spine morphology,Abnormality of the lumbar spine,Any structural abnormality of the lumbar vertebral column.
HP:0005107,HP_0005107,Abnormal sacrum morphology,Abnormality of the sacrum,An abnormality of the sacral bone.
HP:0003330,HP_0003330,Abnormal bone structure, ,Any anomaly in the composite material or the layered arrangement of the bony skeleton.
HP:0000775,HP_0000775,Abnormality of the diaphragm,Abnormality of the diaphragm|Diaphragmatic defect|Diaphragm issues,"Any abnormality of the diaphragm, the sheet of skeletal muscle that separates the thoracic cavity from the abdominal cavity."
HP:0001510,HP_0001510,Growth delay,Delayed growth|Poor growth|Growth failure|Growth deficiency|Growth delay|Growth retardation|Retarded growth,A deficiency or slowing down of growth pre- and postnatally.
HP:0100542,HP_0100542,Abnormal localization of kidney,Abnormal localisation of kidneys,An abnormal site of the kidney.
HP:0032073,HP_0032073,Aplasia of the fallopian tube, ,"Aplasia, that is failure to develop, of the fallopian tube."
HP:0031909,HP_0031909,Unicornuate uterus, ,"A uterus that has a single horn, with a banana-like shape that may or may not have a secondary rudimentary uterine horn."
HP:0009971,HP_0009971,Polydactyly affecting the 4th finger,Extra ring finger, 
HP:0007598,HP_0007598,Bilateral single transverse palmar creases, ,The distal and proximal transverse palmar creases are merged into a single transverse palmar crease on both hands.
HP:0032075,HP_0032075,Splenopancreatic fusion, ,Fusion of the pancreatic tail and spleen.
HP:0008467,HP_0008467,Thoracic hemivertebrae, ,Absence of one half of the vertebral body in the thoracic spine.
HP:0010945,HP_0010945,Fetal pyelectasis,Mild fetal hydronephrosis|Foetal pyelectasis|Fetal renal pelvic dilatation,Mild pyelectasis is defined as a hypoechoic spherical or elliptical space within the renal pelvis that measures at least 5mm and not more than 10 mm. The measurement is taken on a transverse section through the fetal renal pelvis using the maximum anterior-to-posterior measurement.
HP:0000033,HP_0000033,"Ambiguous genitalia, male",Ambiguous genitalia in males,Ambiguous genitalia in an individual with XY genetic gender.
HP:0010772,HP_0010772,Anomalous pulmonary venous return, ,"A developmental defect characterized by abnormal connection of one or more pulmonary veins to the superior or inferior vena cava, the right atrium, or the coronary sinus, resulting in a left-to-right shunt of oxygenated blood."
HP:0000707,HP_0000707,Abnormality of the nervous system,Neurologic abnormalities|Abnormality of the nervous system|Neurological abnormality,An abnormality of the nervous system.
HP:0100280,HP_0100280,Crohn's disease,Granulomatous enteritis and colitis|Morbus Crohn,"A chronic granulomatous inflammatory disease of the intestines that may affect any part of the gastrointestinal tract from mouth to anus, causing a wide variety of symptoms. It primarily causes abdominal pain, diarrhea which may be bloody, vomiting, or weight loss, but may also cause complications outside of the gastrointestinal tract such as skin rashes, arthritis, inflammation of the eye, tiredness, and lack of concentration. Crohn's disease is thought to be an autoimmune disease, in which the body's immune system attacks the gastrointestinal tract, causing inflammation."
HP:0000252,HP_0000252,Microcephaly,Small head circumference|Abnormally small cranium|Decreased size of skull|Abnormally small skull|Reduced head circumference|Decreased size of cranium|Decreased circumference of cranium|small calvarium|small cranium,Head circumference below 2 standard deviations below the mean for age and gender.
HP:0000824,HP_0000824,Growth hormone deficiency,Growth hormone deficiency|Somatotropin deficiency,"Insufficient production of growth hormone, which is produced by the anterior pituitary gland. Growth hormone is a major participant in control of growth and metabolism."
HP:0000023,HP_0000023,Inguinal hernia, ,Protrusion of the contents of the abdominal cavity through the inguinal canal.
HP:0030277,HP_0030277,Abnormal vertebral pedicle morphology, ,Abnormal morphology of a vertebral pedical.
HP:0008455,HP_0008455,Dysplastic sacrum,Absence of some of the sacral and coccygeal bones|Partial sacral agenesis|Sacral dysgenesis,"A developmental defect of the sacrum characterized by partial or disordered development of the sacrum in which portions of the sacrum, which normally is formed by fusion of five sacral vertebrae S1-S5, fail to form or fail to form normally."
HP:0003316,HP_0003316,Butterfly vertebrae,Anterior rachischisis|Sagittal clefting of vertebrae|Butterfly vertebrae,A butterfly vertebra (sagittal cleft vertebra or anterior rachischisis) is a sagittal defect in the vertebral body caused by failure of fusion of the two lateral chondrification centers during embryogenesis. The name is based on the appearance of the two hemivertebrae emerging as butterfly wings from the central cleft on x-ray.
HP:0002119,HP_0002119,Ventriculomegaly,Ventricular dilatation|Enlarged ventricular system|Enlarged ventricles|Dilated cerebral ventricles|Large cerebral ventricles and cisternae|Enlarged cerebral ventricles|Dilated ventricles|Dilated cerebral ventricle|Cerebral ventricular dilatation,An increase in size of the ventricular system of the brain.
HP:0002566,HP_0002566,Intestinal malrotation,Malrotation,"An abnormality of the intestinal rotation and fixation that normally occurs during the development of the gut. This can lead to volvulus, or twisting of the intestine that causes obstruction and necrosis."
HP:0002021,HP_0002021,Pyloric stenosis, ,An abnormal narrowing of the pylorus.
HP:0007970,HP_0007970,Congenital ptosis,Congenital drooping upper eyelid, 
HP:0000347,HP_0000347,Micrognathia,Small lower jaw|Mandibular deficiency|Hypotrophic mandible|Little lower jaw|Underdevelopment of lower jaw|Hypoplasia of lower jaw|Decreased size of mandible|Hypoplastic mandible condyle|Micrognathia of lower jaw|Mandibular micrognathia|Micromandible|Hypoplastic mandible|Mandibular retrusion|Decreased size of lower jaw|Hypotrophic lower jaw|Hypoplasia of mandible|Little mandible|Mandibular retrognathia|Lower jaw deficiency|Underdevelopment of mandible|Mandibular hypoplasia|Severe hypoplasia of mandible|Lower jaw hypoplasia|Robin mandible|Lower jaw retrusion|Small jaw|Small mandible,Developmental hypoplasia of the mandible.
HP:0100657,HP_0100657,Thoracoabdominal eventration,Celosomia|Kelosomia,"Congenital protrusion of the abdominal or thoracic viscera, usually with a defect of the sternum and ribs as well as of the abdominal walls."
HP:0011139,HP_0011139,Gastric duplication,Gastric duplication cyst,"Gastric duplication is a usually cystic malformation of gastrointestinal tract, usually attached to the greater curvature of the stomach and has no communication with the stomach."
HP:0005950,HP_0005950,Laryngeal web,Partial laryngeal atresia|Laryngeal webs,A membrane-like structure that extends across the laryngeal lumen close to the level of the vocal cords.
HP:0002672,HP_0002672,Gastrointestinal carcinoma,GI carcinoma, 
HP:0007009,HP_0007009,Central nervous system degeneration,CNS degeneration, 
HP:0008736,HP_0008736,Hypoplasia of penis,Underdeveloped penis, 
HP:0001679,HP_0001679,Abnormal aortic morphology,Abnormality of the aorta|Abnormal aorta morphology,An abnormality of the aorta.
HP:0011994,HP_0011994,Abnormal atrial septum morphology,Abnormality of the atrial septum|Abnormal interatrial septum morphology,An abnormality of the interatrial septum.
HP:0010438,HP_0010438,Abnormal ventricular septum morphology,Abnormality of the ventricular septum|Ventricular septum abnormality|Abnormal interventricular septum morphology,A structural abnormality of the interventricular septum.
HP:0001710,HP_0001710,Conotruncal defect,Conotruncal heart defects,"A congenital malformation of the outflow tract of the heart. Conotruncal defects are thought to result from a disturbance of the outflow tract of the embryonic heart, and comprise truncus arteriosus, tetralogy of Fallot, interrupted aortic arch, transposition of the great arteries, and double outlet right ventricle."
HP:0001641,HP_0001641,Abnormal pulmonary valve morphology,Abnormality of the pulmonary valve|Anomaly of the pulmonary valve,Any structural abnormality of the pulmonary valve.
HP:0001707,HP_0001707,Abnormal right ventricle morphology,Abnormality of the right ventricle|Right ventricular abnormality,An abnormality of the right ventricle of the heart.
HP:0011563,HP_0011563,Abnormal ventriculoarterial connection,Abnormal ventriculo-arterial connection|Abnormal ventriculoarterial connexion,An abnormality of the circulatory connection between the ventricles and the pulmonary artery and aorta.
HP:0001646,HP_0001646,Abnormal aortic valve morphology,Abnormality of the aortic valve,Any abnormality of the aortic valve.
HP:0001711,HP_0001711,Abnormal left ventricle morphology,Left ventricular abnormality|Abnormal heart left ventricle morphology|Abnormality of the left ventricle,Any structural abnormality of the left ventricle of the heart.
HP:0001633,HP_0001633,Abnormal mitral valve morphology,Abnormality of the mitral valve,Any structural anomaly of the mitral valve.
HP:0032092,HP_0032092,Left ventricular outflow tract obstruction, ,"Left ventricular outflow tract (LVOT) obstruction can occur at the valvular, subvalvular, or supravalvular level. In general, there is an obstruction to forward flow which increases afterload, and if untreated, can result in hypertrophy, dilatation, and eventual failure of the left ventricle."
HP:0011035,HP_0011035,Abnormal renal cortex morphology,Abnormality of renal cortex morphology,An abnormality of the cortex of the kidney.
HP:0030966,HP_0030966,Abnormal pulmonary artery morphology, ,An abnormality of the structure of the pulmonary artery.
HP:0002624,HP_0002624,Abnormal venous morphology,Venous abnormality|Abnormal vein,An anomaly of vein.
HP:0030968,HP_0030968,Abnormal pulmonary vein morphology, ,An abnormality of the structure of the pulmonary veins.
HP:0025580,HP_0025580,Abnormal right atrium morphology, ,Any structural abnormality of the right atrium.
HP:0011546,HP_0011546,Abnormal atrioventricular connection,Abnormal atrioventricular connexion,An abnormality of the circulatory connection between atria and ventricles.
HP:0006704,HP_0006704,Abnormal coronary artery morphology, ,Any structural abnormality of the coronary arteries.
HP:0001702,HP_0001702,Abnormal tricuspid valve morphology,Abnormality of the tricuspid valve,Any structural anomaly of the tricuspid valve.
HP:0011620,HP_0011620,Abnormality of abdominal situs, ,"An abnormality of the abdominal situs, i.e., of the sidedness of the abdomen and its organs."
HP:0006707,HP_0006707,Abnormality of the hepatic vasculature,Abnormality of liver blood vessels|Abnormality of the liver vasculature,An abnormality of the hepatic vasculature.
HP:0025579,HP_0025579,Abnormal left atrium morphology, ,Any structural abnormality of the left atrium.
HP:0410042,HP_0410042,Abnormal liver morphology, ,"Any structural anomaly of the bile-secreting organ that is important for detoxification, for fat, carbohydrate, and protein metabolism, and for glycogen storage."
HP:0011333,HP_0011333,Asymmetric crying face,Asymmetric crying face|Partial unilateral facial paresis,Asymmetry observed in the face of a neonate or infant whose face appears symmetric at rest and asymmetric during crying as the mouth is pulled downward on one side while not moving on the other side.
HP:0000271,HP_0000271,Abnormality of the face,Abnormality of the face|Abnormal face|Facial abnormality,An abnormality of the face.
HP:0000474,HP_0000474,Thickened nuchal skin fold,Thickened nuchal skin|Thickened skin folds of neck|Increased nuchal fold thickness|Excess nuchal skin|Thickened skin over the neck,"A thickening of the skin thickness in the posterior aspect of the fetal neck. A nuchal fold measurement is obtained in a transverse section of the fetal head at the level of the cavum septum pellucidum and thalami, angled posteriorly to include the cerebellum. The measurement is taken from the outer edge of the occiput bone to the outer skin limit directly in the midline. A measurement 6 mm or more is considered significant between 18 and 24 weeks and a measurement of 5 mm or more is considered significant at 16 to 18 weeks (PMID:16100637)."
HP:0000269,HP_0000269,Prominent occiput,Prominent posterior cranium|Protruding occiput|Prominent posterior skull|Prominent back of the skull,Increased convexity of the occiput (posterior part of the skull).
HP:0012745,HP_0012745,Short palpebral fissure,Short opening between the eyelids|Decreased height of palpebral fissure|Short palpebral fissures,"Distance between the medial and lateral canthi is more than 2 SD below the mean for age (objective); or, apparently reduced length of the palpebral fissures."
HP:0000340,HP_0000340,Sloping forehead,Inclined forehead|Receding forehead|Posteriorly sloping forehead|Sloping forehead,Inclination of the anterior surface of the forehead from the vertical more than two standard deviations above the mean (objective); or apparently excessive posterior sloping of the forehead in a lateral view.
