p1,p1l,p2,p2l
http://purl.obolibrary.org/obo/ZP_0013296,"Mauthner neuron hindbrain physical object quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0017504,"Mauthner neuron physical object quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0006048,pulmonary valve regurgitation (MPO),http://purl.obolibrary.org/obo/HP_0010444,Pulmonary insufficiency (HPO)
http://purl.obolibrary.org/obo/HP_0001399,Hepatic failure (HPO),http://purl.obolibrary.org/obo/MP_0003326,liver failure (MPO)
http://purl.obolibrary.org/obo/HP_0012506,Small pituitary gland (HPO),http://purl.obolibrary.org/obo/MP_0005361,small pituitary gland (MPO)
http://purl.obolibrary.org/obo/MP_0003189,fused joints (MPO),http://purl.obolibrary.org/obo/HP_0100240,Synostosis of joints (HPO)
http://purl.obolibrary.org/obo/MP_0013872,abnormal jugular vein morphology (MPO),http://purl.obolibrary.org/obo/HP_3000042,Abnormal jugular vein morphology (HPO)
http://purl.obolibrary.org/obo/MP_0001516,abnormal motor coordination/balance (MPO),http://purl.obolibrary.org/obo/ZP_0000207,"neuromuscular process controlling balance quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0001999,Abnormal facial shape (HPO),http://purl.obolibrary.org/obo/MP_0003743,abnormal facial morphology (MPO)
http://purl.obolibrary.org/obo/HP_0000190,Abnormal oral frenulum morphology (HPO),http://purl.obolibrary.org/obo/MP_0013263,abnormal tongue frenulum morphology (MPO)
http://purl.obolibrary.org/obo/HP_0010627,Anterior pituitary hypoplasia (HPO),http://purl.obolibrary.org/obo/MP_0008365,adenohypophysis hypoplasia (MPO)
http://purl.obolibrary.org/obo/HP_0005403,Decrease in T cell count (HPO),http://purl.obolibrary.org/obo/MP_0005018,decreased T cell number (MPO)
http://purl.obolibrary.org/obo/HP_0011819,Submucous cleft soft palate (HPO),http://purl.obolibrary.org/obo/MP_0013547,submucous cleft soft palate (MPO)
http://purl.obolibrary.org/obo/MP_0005502,abnormal renal/urinary system physiology (MPO),http://purl.obolibrary.org/obo/HP_0011277,Abnormality of the urinary system physiology (HPO)
http://purl.obolibrary.org/obo/MP_0008523,absent lymph node germinal center (MPO),http://purl.obolibrary.org/obo/HP_0002849,Absence of lymph node germinal center (HPO)
http://purl.obolibrary.org/obo/MP_0002640,reticulocytosis (MPO),http://purl.obolibrary.org/obo/HP_0001923,Reticulocytosis (HPO)
http://purl.obolibrary.org/obo/ZP_0021180,"RNA catabolic process process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0001826,RNA degradation variant (WBP)
http://purl.obolibrary.org/obo/ZP_0013357,"Wnt signaling pathway, planar cell polarity pathway process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131726,"abnormal Wnt signaling pathway, planar cell polarity pathway (XPO)"
http://purl.obolibrary.org/obo/MP_0012177,delayed head development (MPO),http://purl.obolibrary.org/obo/ZP_0005310,"head development delayed, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0009100,abnormal clitoris size (MPO),http://purl.obolibrary.org/obo/HP_0040252,Abnormal size of the clitoris (HPO)
http://purl.obolibrary.org/obo/HP_0100766,Abnormal lymphatic vessel morphology (HPO),http://purl.obolibrary.org/obo/MP_0001879,abnormal lymphatic vessel morphology (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000517,behavior phenotype (WBP),http://purl.obolibrary.org/obo/FBcv_0000387,behavior defective (DPO)
http://purl.obolibrary.org/obo/MP_0002667,decreased circulating aldosterone level (MPO),http://purl.obolibrary.org/obo/HP_0004319,Decreased circulating aldosterone level (HPO)
http://purl.obolibrary.org/obo/MP_0014185,cerebellum atrophy (MPO),http://purl.obolibrary.org/obo/HP_0001272,Cerebellar atrophy (HPO)
http://purl.obolibrary.org/obo/ZP_0015408,"blood cell blood absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0004491,"blood cell absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/WBPhenotype_0001712,circadian rhythm behavior variant (WBP),http://purl.obolibrary.org/obo/FBcv_0000679,circadian behavior defective (DPO)
http://purl.obolibrary.org/obo/ZP_0014639,"hatching process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000048,hatching variant (WBP)
http://purl.obolibrary.org/obo/MP_0008254,increased megakaryocyte cell number (MPO),http://purl.obolibrary.org/obo/HP_0005513,Increased megakaryocyte count (HPO)
http://purl.obolibrary.org/obo/MP_0000103,nasal bone hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0004646,Hypoplasia of the nasal bone (HPO)
http://purl.obolibrary.org/obo/MP_0013202,abnormal cilium morphology (MPO),http://purl.obolibrary.org/obo/WBPhenotype_0000615,cilia morphology variant (WBP)
http://purl.obolibrary.org/obo/MP_0005536,Leydig cell hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0010790,Hyoplasia of the Leydig cells (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001028,nuclear appearance variant (WBP),http://purl.obolibrary.org/obo/MP_0003111,abnormal cell nucleus morphology (MPO)
http://purl.obolibrary.org/obo/HP_0005336,Forehead hyperpigmentation (HPO),http://purl.obolibrary.org/obo/MP_0030053,increased forehead pigmentation (MPO)
http://purl.obolibrary.org/obo/MP_0001270,distended abdomen (MPO),http://purl.obolibrary.org/obo/HP_0003270,Abdominal distention (HPO)
http://purl.obolibrary.org/obo/ZP_0000361,"cardiac muscle cell heart apoptotic, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0008018,"cardiac muscle cell apoptotic, abnormal (ZPO)"
http://purl.obolibrary.org/obo/XPO_0124811,absent nerve (XPO),http://purl.obolibrary.org/obo/XPO_0126152,absent peripheral nerve (XPO)
http://purl.obolibrary.org/obo/HP_0000050,Hypoplastic male external genitalia (HPO),http://purl.obolibrary.org/obo/MP_0009203,external male genitalia hypoplasia (MPO)
http://purl.obolibrary.org/obo/MP_0002192,hydrops fetalis (MPO),http://purl.obolibrary.org/obo/HP_0001789,Hydrops fetalis (HPO)
http://purl.obolibrary.org/obo/MP_0000223,decreased monocyte cell number (MPO),http://purl.obolibrary.org/obo/HP_0012312,Monocytopenia (HPO)
http://purl.obolibrary.org/obo/HP_0003124,Hypercholesterolemia (HPO),http://purl.obolibrary.org/obo/MP_0005178,increased circulating cholesterol level (MPO)
http://purl.obolibrary.org/obo/PHIPO_0000836,sensitive to rifampicin (PHIPO),http://purl.obolibrary.org/obo/PHIPO_0000856,sensitive to rifampin (PHIPO)
http://purl.obolibrary.org/obo/ZP_0009911,"melanocyte head absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0016792,"melanocyte eye absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0008102,lymph node hyperplasia (MPO),http://purl.obolibrary.org/obo/HP_0002716,Lymphadenopathy (HPO)
http://purl.obolibrary.org/obo/HP_0000481,Abnormal cornea morphology (HPO),http://purl.obolibrary.org/obo/MP_0001312,abnormal cornea morphology (MPO)
http://purl.obolibrary.org/obo/MP_0030066,short face (MPO),http://purl.obolibrary.org/obo/HP_0011219,Short face (HPO)
http://purl.obolibrary.org/obo/MP_0013546,cleft soft palate (MPO),http://purl.obolibrary.org/obo/HP_0000185,Cleft soft palate (HPO)
http://purl.obolibrary.org/obo/HP_0011935,Decreased urinary urate (HPO),http://purl.obolibrary.org/obo/MP_0011424,decreased urine uric acid level (MPO)
http://purl.obolibrary.org/obo/MP_0004195,abnormal kidney calyx morphology (MPO),http://purl.obolibrary.org/obo/HP_0011130,Abnormal renal calyx morphology (HPO)
http://purl.obolibrary.org/obo/ZP_0101345,"intersegmental vessel trunk branchiness, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0006400,"intersegmental vessel branchiness, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0011629,decreased mitochondria number (MPO),http://purl.obolibrary.org/obo/HP_0040013,Decreased mitochondrial number (HPO)
http://purl.obolibrary.org/obo/HP_0003231,Hypertyrosinemia (HPO),http://purl.obolibrary.org/obo/MP_0013723,increased circulating tyrosine level (MPO)
http://purl.obolibrary.org/obo/ZP_0015775,"melanocyte head hyperplastic, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0021529,"melanocyte integument hyperplastic, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0003656,abnormal erythrocyte physiology (MPO),http://purl.obolibrary.org/obo/HP_0020054,Abnormal erythrocyte physiology (HPO)
http://purl.obolibrary.org/obo/MP_0008797,facial cleft (MPO),http://purl.obolibrary.org/obo/HP_0002006,Facial cleft (HPO)
http://purl.obolibrary.org/obo/HP_0010438,Abnormal ventricular septum morphology (HPO),http://purl.obolibrary.org/obo/MP_0000281,abnormal interventricular septum morphology (MPO)
http://purl.obolibrary.org/obo/ZP_0007858,"iridophore head decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0004782,"iridophore eye decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0010522,calcified aorta (MPO),http://purl.obolibrary.org/obo/HP_0004963,Calcification of the aorta (HPO)
http://purl.obolibrary.org/obo/MP_0030070,long face (MPO),http://purl.obolibrary.org/obo/HP_0000276,Long face (HPO)
http://purl.obolibrary.org/obo/HP_0000518,Cataract (HPO),http://purl.obolibrary.org/obo/MP_0001304,cataract (MPO)
http://purl.obolibrary.org/obo/FBcv_0000716,cell migration defective (DPO),http://purl.obolibrary.org/obo/XPO_0131704,abnormal cell migration (XPO)
http://purl.obolibrary.org/obo/HP_0005469,Flat occiput (HPO),http://purl.obolibrary.org/obo/MP_0030289,flat occipital bone (MPO)
http://purl.obolibrary.org/obo/HP_0003646,Bicarbonaturia (HPO),http://purl.obolibrary.org/obo/MP_0011462,increased urine bicarbonate level (MPO)
http://purl.obolibrary.org/obo/MP_0030703,increased circulating threonine level (MPO),http://purl.obolibrary.org/obo/HP_0003354,Hyperthreoninemia (HPO)
http://purl.obolibrary.org/obo/HP_0008165,Decreased proportion circulating T-helper cells (HPO),http://purl.obolibrary.org/obo/MP_0013764,decreased T-helper cell number (MPO)
http://purl.obolibrary.org/obo/MP_0030709,increased circulating glutamine level (MPO),http://purl.obolibrary.org/obo/HP_0003217,Hyperglutaminemia (HPO)
http://purl.obolibrary.org/obo/MP_0020403,lysinuria (MPO),http://purl.obolibrary.org/obo/HP_0003297,Hyperlysinuria (HPO)
http://purl.obolibrary.org/obo/FYPO_0006567,abnormal DNA repair (FYPO),http://purl.obolibrary.org/obo/MP_0008058,abnormal DNA repair (MPO)
http://purl.obolibrary.org/obo/MP_0030117,bifid nose (MPO),http://purl.obolibrary.org/obo/HP_0011803,Bifid nose (HPO)
http://purl.obolibrary.org/obo/ZP_0107614,"actinotrichium quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0107612,"fin fold actinotrichium quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0009477,"response to starvation process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000147,organism starvation response variant (WBP)
http://purl.obolibrary.org/obo/PHIPO_0000787,sensitive to phosphomycin (PHIPO),http://purl.obolibrary.org/obo/PHIPO_0000788,sensitive to fosfomycin (PHIPO)
http://purl.obolibrary.org/obo/ZP_0009993,"retinal cone cell retinal photoreceptor layer decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0103848,"retinal cone cell retinal outer nuclear layer decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0016881,"cartilage element cranium absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0002801,"cranial cartilage absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0010867,abnormal bone trabecula morphology (MPO),http://purl.obolibrary.org/obo/HP_0100671,Abnormal trabecular bone morphology (HPO)
http://purl.obolibrary.org/obo/HP_0011018,Abnormality of the cell cycle (HPO),http://purl.obolibrary.org/obo/FBcv_0000671,cell cycle defective (DPO)
http://purl.obolibrary.org/obo/ZP_0004524,"nucleate erythrocyte blood absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0000751,"nucleate erythrocyte absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/WBPhenotype_0000623,nervous system development variant (WBP),http://purl.obolibrary.org/obo/ZP_0004500,"nervous system development process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/PHIPO_0000788,sensitive to fosfomycin (PHIPO),http://purl.obolibrary.org/obo/PHIPO_0000787,sensitive to phosphomycin (PHIPO)
http://purl.obolibrary.org/obo/MP_0003617,urinary bladder hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0005343,Hypoplasia of the bladder (HPO)
http://purl.obolibrary.org/obo/HP_0010504,Increased length of the tibia (HPO),http://purl.obolibrary.org/obo/MP_0004357,long tibia (MPO)
http://purl.obolibrary.org/obo/HP_0000321,Square face (HPO),http://purl.obolibrary.org/obo/MP_0030073,square face (MPO)
http://purl.obolibrary.org/obo/ZP_0000594,"embryo development delayed, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131754,delayed embryo development (XPO)
http://purl.obolibrary.org/obo/MP_0003014,abnormal kidney medulla morphology (MPO),http://purl.obolibrary.org/obo/HP_0100957,Abnormal renal medulla morphology (HPO)
http://purl.obolibrary.org/obo/ZP_0004262,"growth decreased rate, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000031,slow growth (WBP)
http://purl.obolibrary.org/obo/MP_0000639,abnormal adrenal gland morphology (MPO),http://purl.obolibrary.org/obo/HP_0011732,Abnormality of adrenal morphology (HPO)
http://purl.obolibrary.org/obo/MP_0012399,short nails (MPO),http://purl.obolibrary.org/obo/HP_0001799,Short nail (HPO)
http://purl.obolibrary.org/obo/MP_0030779,decreased urine citrate level (MPO),http://purl.obolibrary.org/obo/HP_0012405,Hypocitraturia (HPO)
http://purl.obolibrary.org/obo/HP_0011927,Short digit (HPO),http://purl.obolibrary.org/obo/MP_0002544,brachydactyly (MPO)
http://purl.obolibrary.org/obo/MP_0030951,abnormal endocytosis (MPO),http://purl.obolibrary.org/obo/FYPO_0003886,abnormal endocytosis (FYPO)
http://purl.obolibrary.org/obo/MP_0030750,increased circulating leucine level (MPO),http://purl.obolibrary.org/obo/HP_0010911,Hyperleucinemia (HPO)
http://purl.obolibrary.org/obo/ZP_0131286,"molecular_function quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/FYPO_0000707,abnormal molecular function (FYPO)
http://purl.obolibrary.org/obo/MP_0030675,abnormal acetylcholine level (MPO),http://purl.obolibrary.org/obo/WBPhenotype_0000507,acetylcholine levels variant (WBP)
http://purl.obolibrary.org/obo/MP_0005543,decreased cornea thickness (MPO),http://purl.obolibrary.org/obo/HP_0100689,Decreased corneal thickness (HPO)
http://purl.obolibrary.org/obo/MP_0003757,high palate (MPO),http://purl.obolibrary.org/obo/HP_0000218,High palate (HPO)
http://purl.obolibrary.org/obo/MP_0001938,delayed sexual maturation (MPO),http://purl.obolibrary.org/obo/HP_0000823,Delayed puberty (HPO)
http://purl.obolibrary.org/obo/HP_0500138,Hyperserinemia (HPO),http://purl.obolibrary.org/obo/MP_0030694,increased circulating serine level (MPO)
http://purl.obolibrary.org/obo/HP_0011455,Absent malleus (HPO),http://purl.obolibrary.org/obo/MP_0004319,absent malleus (MPO)
http://purl.obolibrary.org/obo/HP_0006270,Hypoplastic spleen (HPO),http://purl.obolibrary.org/obo/MP_0000694,spleen hypoplasia (MPO)
http://purl.obolibrary.org/obo/XPO_0127105,abnormally localised circulatory system (XPO),http://purl.obolibrary.org/obo/XPO_0126809,abnormally localised cardiovascular system (XPO)
http://purl.obolibrary.org/obo/HP_0500154,Hypoalaninemia (HPO),http://purl.obolibrary.org/obo/MP_0030674,decreased circulating alanine level (MPO)
http://purl.obolibrary.org/obo/ZP_0103379,"heart contraction increased variability of rate, abnormal (ZPO)",http://purl.obolibrary.org/obo/MP_0003928,increased heart rate variability (MPO)
http://purl.obolibrary.org/obo/MP_0002740,heart hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0001961,Hypoplastic heart (HPO)
http://purl.obolibrary.org/obo/HP_0001634,Mitral valve prolapse (HPO),http://purl.obolibrary.org/obo/MP_0006120,mitral valve prolapse (MPO)
http://purl.obolibrary.org/obo/HP_0003228,Hypernatremia (HPO),http://purl.obolibrary.org/obo/MP_0005633,increased circulating sodium level (MPO)
http://purl.obolibrary.org/obo/XPO_0131704,abnormal cell migration (XPO),http://purl.obolibrary.org/obo/WBPhenotype_0000594,cell migration variant (WBP)
http://purl.obolibrary.org/obo/ZP_0104533,"pharynx development process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000707,pharyngeal development variant (WBP)
http://purl.obolibrary.org/obo/MP_0003535,absent vagina (MPO),http://purl.obolibrary.org/obo/HP_0003250,Aplasia of the vagina (HPO)
http://purl.obolibrary.org/obo/ZP_0006784,"vertebra fused with centrum centrum, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0010729,"centrum fused with centrum, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0030099,facial asymmetry (MPO),http://purl.obolibrary.org/obo/HP_0000324,Facial asymmetry (HPO)
http://purl.obolibrary.org/obo/HP_0025576,Abnormal inferior vena cava morphology (HPO),http://purl.obolibrary.org/obo/MP_0006063,abnormal inferior vena cava morphology (MPO)
http://purl.obolibrary.org/obo/ZP_0004814,"adrenocorticotropic hormone secreting cell decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0015693,"adrenocorticotropic hormone secreting cell central nervous system decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0001896,Reticulocytopenia (HPO),http://purl.obolibrary.org/obo/MP_0008941,reticulocytopenia (MPO)
http://purl.obolibrary.org/obo/XPO_0100363,abnormal cardiovascular system (XPO),http://purl.obolibrary.org/obo/XPO_0100268,abnormal circulatory system (XPO)
http://purl.obolibrary.org/obo/ZP_0021901,"respiratory gaseous exchange by respiratory system decreased frequency, abnormal (ZPO)",http://purl.obolibrary.org/obo/MP_0005574,decreased pulmonary respiratory rate (MPO)
http://purl.obolibrary.org/obo/MP_0001178,pulmonary hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0002089,Pulmonary hypoplasia (HPO)
http://purl.obolibrary.org/obo/MP_0006188,calcified retina (MPO),http://purl.obolibrary.org/obo/HP_0007862,Retinal calcification (HPO)
http://purl.obolibrary.org/obo/HP_0012517,Reduced catalase activity (HPO),http://purl.obolibrary.org/obo/MP_0011594,decreased catalase activity (MPO)
http://purl.obolibrary.org/obo/HP_0005349,Hypoplasia of the epiglottis (HPO),http://purl.obolibrary.org/obo/MP_0030892,epiglottis hypoplasia (MPO)
http://purl.obolibrary.org/obo/XPO_0137355,decreased apoptosis in optic field (XPO),http://purl.obolibrary.org/obo/XPO_0136809,decreased apoptosis in eye primordium (XPO)
http://purl.obolibrary.org/obo/MP_0003109,short femur (MPO),http://purl.obolibrary.org/obo/HP_0003097,Short femur (HPO)
http://purl.obolibrary.org/obo/HP_0001875,Neutropenia (HPO),http://purl.obolibrary.org/obo/MP_0000222,decreased neutrophil cell number (MPO)
http://purl.obolibrary.org/obo/MP_0013129,abnormal tooth color (MPO),http://purl.obolibrary.org/obo/HP_0011073,Abnormality of dental color (HPO)
http://purl.obolibrary.org/obo/HP_0012372,Abnormal eye morphology (HPO),http://purl.obolibrary.org/obo/MP_0002092,abnormal eye morphology (MPO)
http://purl.obolibrary.org/obo/HP_0410241,Abnormal IgE level (HPO),http://purl.obolibrary.org/obo/MP_0020173,abnormal IgE level (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000497,organism gamma ray response variant (WBP),http://purl.obolibrary.org/obo/ZP_0014893,"response to gamma radiation process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0002621,Atherosclerosis (HPO),http://purl.obolibrary.org/obo/MP_0005338,atherosclerotic lesions (MPO)
http://purl.obolibrary.org/obo/MP_0006113,abnormal heart septum morphology (MPO),http://purl.obolibrary.org/obo/HP_0001671,Abnormal cardiac septum morphology (HPO)
http://purl.obolibrary.org/obo/MP_0001914,hemorrhage (MPO),http://purl.obolibrary.org/obo/HP_0001892,Abnormal bleeding (HPO)
http://purl.obolibrary.org/obo/MP_0030368,trigonocephaly (MPO),http://purl.obolibrary.org/obo/HP_0000243,Trigonocephaly (HPO)
http://purl.obolibrary.org/obo/ZP_0014946,"renal absorption process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0011038,Abnormality of renal resorption (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000031,slow growth (WBP),http://purl.obolibrary.org/obo/ZP_0004262,"growth decreased rate, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0001718,Mitral stenosis (HPO),http://purl.obolibrary.org/obo/MP_0006122,mitral valve stenosis (MPO)
http://purl.obolibrary.org/obo/HP_0006483,Abnormal number of teeth (HPO),http://purl.obolibrary.org/obo/MP_0030611,abnormal tooth number (MPO)
http://purl.obolibrary.org/obo/HP_0012599,Abnormal urine phosphate concentration (HPO),http://purl.obolibrary.org/obo/MP_0002900,abnormal urine phosphate level (MPO)
http://purl.obolibrary.org/obo/MP_0008046,absent NK cells (MPO),http://purl.obolibrary.org/obo/HP_0040219,Absent natural killer cells (HPO)
http://purl.obolibrary.org/obo/ZP_0004091,"eye photoreceptor cell retinal outer nuclear layer apoptotic, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0004085,"eye photoreceptor cell retinal photoreceptor layer apoptotic, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0009538,abnormal synapse morphology (MPO),http://purl.obolibrary.org/obo/WBPhenotype_0000616,synapse morphology variant (WBP)
http://purl.obolibrary.org/obo/HP_0000618,Blindness (HPO),http://purl.obolibrary.org/obo/MP_0002001,blindness (MPO)
http://purl.obolibrary.org/obo/FBcv_0000433,cytokinesis defective (DPO),http://purl.obolibrary.org/obo/ZP_0011560,"cytokinesis process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0002136,abnormal kidney physiology (MPO),http://purl.obolibrary.org/obo/HP_0012211,Abnormal renal physiology (HPO)
http://purl.obolibrary.org/obo/MP_0008101,lymph node hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0002732,Lymph node hypoplasia (HPO)
http://purl.obolibrary.org/obo/MP_0013791,absent external nares (MPO),http://purl.obolibrary.org/obo/HP_0100596,Absent nares (HPO)
http://purl.obolibrary.org/obo/HP_0000609,Optic nerve hypoplasia (HPO),http://purl.obolibrary.org/obo/MP_0006221,optic nerve hypoplasia (MPO)
http://purl.obolibrary.org/obo/HP_0008609,Morphological abnormality of the middle ear (HPO),http://purl.obolibrary.org/obo/MP_0000049,abnormal middle ear morphology (MPO)
http://purl.obolibrary.org/obo/ZP_0014430,"establishment of apical/basal cell polarity process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131710,abnormal establishment of apical/basal cell polarity (XPO)
http://purl.obolibrary.org/obo/MP_0004645,decreased vertebrae number (MPO),http://purl.obolibrary.org/obo/HP_0030305,Decreased number of vertebrae (HPO)
http://purl.obolibrary.org/obo/XPO_0128123,decreased size of the nerve (XPO),http://purl.obolibrary.org/obo/XPO_0129328,decreased size of the peripheral nerve (XPO)
http://purl.obolibrary.org/obo/HP_0000938,Osteopenia (HPO),http://purl.obolibrary.org/obo/MP_0000063,decreased bone mineral density (MPO)
http://purl.obolibrary.org/obo/MP_0009907,decreased tongue size (MPO),http://purl.obolibrary.org/obo/HP_0000171,Microglossia (HPO)
http://purl.obolibrary.org/obo/ZP_0011572,"convergent extension involved in neural plate elongation process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131747,abnormal convergent extension involved in neural plate elongation (XPO)
http://purl.obolibrary.org/obo/MP_0002726,abnormal pulmonary vein morphology (MPO),http://purl.obolibrary.org/obo/HP_0030968,Abnormal pulmonary vein morphology (HPO)
http://purl.obolibrary.org/obo/XPO_0102866,abnormal gasserian ganglion morphology (XPO),http://purl.obolibrary.org/obo/XPO_0102944,abnormal trigeminal ganglion morphology (XPO)
http://purl.obolibrary.org/obo/FBcv_0000403,chemosensitive behavior defective (DPO),http://purl.obolibrary.org/obo/WBPhenotype_0001049,chemosensory behavior variant (WBP)
http://purl.obolibrary.org/obo/MP_0000783,abnormal forebrain morphology (MPO),http://purl.obolibrary.org/obo/HP_0100547,Abnormality of forebrain morphology (HPO)
http://purl.obolibrary.org/obo/PHIPO_0000552,resistance to cefuroximel (PHIPO),http://purl.obolibrary.org/obo/PHIPO_0000582,resistance to cefuroxime (PHIPO)
http://purl.obolibrary.org/obo/HP_0002097,Emphysema (HPO),http://purl.obolibrary.org/obo/MP_0001958,emphysema (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001502,chemical resistant (WBP),http://purl.obolibrary.org/obo/PHIPO_0000022,increased resistance to chemical (PHIPO)
http://purl.obolibrary.org/obo/HP_0002269,Abnormality of neuronal migration (HPO),http://purl.obolibrary.org/obo/ZP_0000828,"neuron migration process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0002016,ovary cysts (MPO),http://purl.obolibrary.org/obo/HP_0000138,Ovarian cyst (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000671,resistant to copper (WBP),http://purl.obolibrary.org/obo/PHIPO_0000627,resistance to copper (PHIPO)
http://purl.obolibrary.org/obo/FYPO_0007363,abnormal pyruvate kinase activity (FYPO),http://purl.obolibrary.org/obo/MP_0020243,abnormal pyruvate kinase activity (MPO)
http://purl.obolibrary.org/obo/XPO_0140285,abnormally necrotic trigeminal ganglion (XPO),http://purl.obolibrary.org/obo/XPO_0140501,abnormally necrotic gasserian ganglion (XPO)
http://purl.obolibrary.org/obo/HP_0010493,Long metacarpals (HPO),http://purl.obolibrary.org/obo/MP_0004638,elongated metacarpal bones (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001398,neurite morphology variant (WBP),http://purl.obolibrary.org/obo/MP_0008415,abnormal neurite morphology (MPO)
http://purl.obolibrary.org/obo/MP_0003499,thyroid gland hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0005990,Thyroid hypoplasia (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000146,organism temperature response variant (WBP),http://purl.obolibrary.org/obo/FBcv_0000683,temperature response defective (DPO)
http://purl.obolibrary.org/obo/ZP_0003123,"nucleate erythrocyte morphology, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0018302,"nucleate erythrocyte blood morphology, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0000624,xerostomia (MPO),http://purl.obolibrary.org/obo/HP_0000217,Xerostomia (HPO)
http://purl.obolibrary.org/obo/XPO_0130569,increased size of the trigeminal ganglion (XPO),http://purl.obolibrary.org/obo/XPO_0130778,increased size of the gasserian ganglion (XPO)
http://purl.obolibrary.org/obo/MP_0013743,ciliary body hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0007774,Hypoplasia of the ciliary body (HPO)
http://purl.obolibrary.org/obo/ZP_0000657,"retinal ganglion cell decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0015879,"retinal ganglion cell eye decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0004762,Hypoplasia of right ventricle (HPO),http://purl.obolibrary.org/obo/MP_0010422,heart right ventricle hypoplasia (MPO)
http://purl.obolibrary.org/obo/HP_0100539,Periorbital edema (HPO),http://purl.obolibrary.org/obo/MP_0001788,periorbital edema (MPO)
http://purl.obolibrary.org/obo/HP_0002984,Hypoplasia of the radius (HPO),http://purl.obolibrary.org/obo/MP_0004356,radius hypoplasia (MPO)
